strategy,eps,min_samples,n_clusters,noise_ratio,silhouette_score,davies_bouldin,calinski_harabasz
PCA_2D,0.22999999999999995,3,2,0.00024850894632206757,0.567921237798167,0.36054540019184594,370.38584252131153
PCA_2D,0.22999999999999995,4,2,0.00024850894632206757,0.567921237798167,0.36054540019184594,370.38584252131153
PCA_2D,0.22999999999999995,5,2,0.00024850894632206757,0.567921237798167,0.36054540019184594,370.38584252131153
PCA_2D,0.22999999999999995,6,2,0.00024850894632206757,0.567921237798167,0.36054540019184594,370.38584252131153
PCA_2D,0.22999999999999995,7,2,0.00024850894632206757,0.567921237798167,0.36054540019184594,370.38584252131153
PCA_2D,0.22999999999999995,8,2,0.00024850894632206757,0.567921237798167,0.36054540019184594,370.38584252131153
PCA_2D,0.22999999999999995,10,2,0.00024850894632206757,0.567921237798167,0.36054540019184594,370.38584252131153
PCA_2D,0.22999999999999995,12,2,0.00024850894632206757,0.567921237798167,0.36054540019184594,370.38584252131153
PCA_2D,0.22999999999999995,15,3,0.0019880715705765406,0.45847140625796595,0.3906119126206853,242.90037633982345
PCA_2D,0.24999999999999994,2,2,0.00024850894632206757,0.567921237798167,0.36054540019184594,370.38584252131153
PCA_2D,0.24999999999999994,3,2,0.00024850894632206757,0.567921237798167,0.36054540019184594,370.38584252131153
PCA_2D,0.24999999999999994,4,2,0.00024850894632206757,0.567921237798167,0.36054540019184594,370.38584252131153
PCA_2D,0.24999999999999994,5,2,0.00024850894632206757,0.567921237798167,0.36054540019184594,370.38584252131153
PCA_2D,0.24999999999999994,6,2,0.00024850894632206757,0.567921237798167,0.36054540019184594,370.38584252131153
PCA_2D,0.24999999999999994,7,2,0.00024850894632206757,0.567921237798167,0.36054540019184594,370.38584252131153
PCA_2D,0.24999999999999994,8,2,0.00024850894632206757,0.567921237798167,0.36054540019184594,370.38584252131153
PCA_2D,0.24999999999999994,10,2,0.00024850894632206757,0.567921237798167,0.36054540019184594,370.38584252131153
PCA_2D,0.24999999999999994,12,2,0.00024850894632206757,0.567921237798167,0.36054540019184594,370.38584252131153
PCA_2D,0.24999999999999994,15,2,0.00024850894632206757,0.567921237798167,0.36054540019184594,370.38584252131153
